State,District,Year,mean_ndvi,wheat_data,tomato_data,potato_data,Percapita_Income,Population_density,total_markets,supermarket,convenience,greengrocer,grocery,marketplace,Malnutrition_Rate,Anemia_Rate,BMI_Avg,access_score
Delhi,Central,2018,0.1868,1740.77,1257.86,1207.25,358213,25776,249,67,92,35,0,55,24.96,57.98,23.62,0.37291097269275497
Delhi,East,2018,0.1795,1858.46,1296.17,1183.74,325066,30694,208,50,74,34,0,50,27.75,54.7,23.37,0.34786554305958617
Delhi,New Delhi,2018,0.1976,1818.92,1273.32,1187.44,348649,6071,238,62,90,34,0,52,19.08,64.9,23.35,0.4072081391602498
Delhi,North,2018,0.2061,1811.96,1284.88,1198.22,331418,16458,71,18,26,7,0,20,17.88,57.84,23.53,0.2851742161305896
Delhi,North East,2018,0.1902,1790.68,1285.63,1193.4,359139,33216,112,32,37,16,0,27,23.9,54.7,23.59,0.2824976231287771
Delhi,North West,2018,0.2464,1789.33,1275.95,1198.33,336565,33117,59,15,21,3,0,20,20.98,63.0,23.61,0.23035033758656595
Delhi,Shahdara,2018,0.18,1784.45,1278.93,1198.65,326766,40889,161,43,55,22,0,41,28.88,60.8,23.49,0.2738779270974846
Delhi,South,2018,0.2585,1812.48,1276.58,1198.06,323299,22087,213,66,78,32,0,37,21.37,56.3,23.4,0.38595889464613464
Delhi,South East,2018,0.2114,1804.3,1276.27,1194.13,337703,26583,227,59,83,37,0,48,19.72,60.83,23.16,0.3835917070837054
Delhi,South West,2018,0.2753,1807.85,1273.56,1194.68,344340,6585,91,32,23,9,1,26,18.99,63.71,23.6,0.331913460777457
Delhi,West,2018,0.2259,1787.57,1279.01,1197.67,338780,22105,112,30,34,14,1,33,21.95,63.3,23.4,0.31000673035080584
Haryana,Bhiwani,2018,0.3797,1735.0,1027.98,862.31,161039,383,0,0,0,0,0,0,19.36,68.32,22.33,0.2541047783926258
Haryana,Charkhi Dadri,2018,0.4532,1737.82,1261.32,1023.86,161039,457,0,0,0,0,0,0,17.94,70.42,22.49,0.2765789661139821
Haryana,Faridabad,2018,0.2722,1725.56,1273.57,1020.01,349133,2949,12,6,1,0,0,5,19.57,61.82,23.25,0.2731476284015893
Haryana,Gurgaon,2018,0.3074,1662.11,1319.15,1202.57,710552,3043,62,26,14,4,0,18,20.8,68.1,22.66,0.36434143036700534
Haryana,Jhajjar,2018,0.3987,1735.4,1408.9,1174.73,201405,555,0,0,0,0,0,0,11.89,69.0,23.57,0.26505023066842576
Haryana,Jind,2018,0.3244,1732.48,1147.65,908.18,355878,535,1,0,0,0,0,1,19.84,64.74,22.57,0.2853468070518286
Haryana,Karnal,2018,0.4804,1735.04,1361.02,937.28,241583,671,1,0,1,0,0,0,20.62,70.61,22.98,0.2693002736930633
Haryana,Mahendragarh,2018,0.4861,1737.58,1151.44,936.15,132395,553,0,0,0,0,0,0,17.09,67.27,22.66,0.2765489815781717
Haryana,Mewat,2018,0.4067,1723.09,1253.3,1120.33,110273,905,0,0,0,0,0,0,32.77,69.0,21.68,0.21064248214276232
Haryana,Palwal,2018,0.4323,1735.0,1119.67,967.39,158261,900,0,0,0,0,0,0,21.42,64.88,22.48,0.2721234259840816
Haryana,Panipat,2018,0.4007,1735.04,1357.6,1107.61,441132,1107,0,0,0,0,0,0,18.79,70.64,23.11,0.2871358951516226
Haryana,Rewari,2018,0.5376,1735.0,1235.95,1236.92,328058,634,2,1,0,0,0,1,19.36,67.09,22.73,0.31203163620084184
Haryana,Rohtak,2018,0.2862,1735.0,1400.22,1059.2,211060,659,3,1,0,1,0,1,21.95,71.24,22.9,0.2450749858015578
Haryana,Sonipat,2018,0.3816,1735.0,1336.58,1061.42,441132,703,0,0,0,0,0,0,15.95,61.46,23.2,0.3071906307383087
Rajasthan,Alwar,2018,0.4283,1745.97,1447.71,1188.35,151960,516,1,0,0,0,0,1,25.3,58.68,21.55,0.2617059284978831
Rajasthan,Bharatpur,2018,0.3865,1743.79,1014.66,963.55,84515,576,0,0,0,0,0,0,28.0,68.74,21.34,0.1970509720185243
Uttar Pradesh,Baghpat,2018,0.3826,1709.07,1081.44,818.27,109093,1067,0,0,0,0,0,0,21.37,57.24,22.88,0.25946344056975607
Uttar Pradesh,Bulandshahr,2018,0.3547,1741.35,913.1,785.81,114590,895,0,0,0,0,0,0,26.78,58.55,22.72,0.2431943328420052
Uttar Pradesh,Gautam Buddha Nagar,2018,0.2545,1787.68,1080.08,883.54,759367,1420,5,2,1,1,0,1,20.6,61.64,22.88,0.3239576701554523
Uttar Pradesh,Ghaziabad,2018,0.2156,1806.41,1108.08,940.47,141424,5041,50,16,12,7,0,15,23.67,58.96,23.53,0.24974808944003543
Uttar Pradesh,Hapur,2018,0.3613,1753.56,984.67,832.39,128880,6688,0,0,0,0,0,0,26.03,60.48,23.05,0.2260878796855367
Uttar Pradesh,Meerut,2018,0.3404,1778.98,956.44,853.51,176319,984,21,16,3,0,0,2,22.77,50.84,23.19,0.28064381971835495
Uttar Pradesh,Muzaffarnagar,2018,0.3528,1764.6,983.86,822.14,109093,1153,0,0,0,0,0,0,27.58,56.22,22.75,0.24735315182754014
Uttar Pradesh,Shamli,2018,0.4161,1752.9,998.96,850.91,100198,1451,0,0,0,0,0,0,27.6,53.92,22.54,0.26626666604507876
Delhi,Central,2019,0.2359,1733.17,1366.34,1316.41,352792,25508,307,77,127,44,0,59,24.16,57.48,23.72,0.4159349680390474
Delhi,East,2019,0.2331,1911.82,1277.94,1248.14,337991,31174,250,58,98,41,0,53,26.95,54.2,23.47,0.38268263414702564
Delhi,New Delhi,2019,0.2423,1845.83,1237.33,1229.61,347317,5932,296,72,125,43,0,56,18.28,64.4,23.45,0.4458983341173437
Delhi,North,2019,0.2214,1800.52,1314.97,1155.77,360407,16669,88,20,33,10,0,25,17.08,57.34,23.63,0.30050989452348065
Delhi,North East,2019,0.2278,1865.49,1411.43,1243.82,348979,34014,127,33,45,20,0,29,23.1,54.2,23.69,0.3006739346185236
Delhi,North West,2019,0.2172,1737.3,1258.48,1316.38,335732,33940,71,15,25,6,0,25,20.18,62.5,23.71,0.23449644062842104
